timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-28 17:07:29.45,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-28 17:07:29.46,open,-3,-2,0,-1,0,1,-1,3,0,-3,0,2,2,-2,-1,-1,-1,-2,-2,0,-1,1,2,-1,-2,-1,0,-1,-1,-1,-1,-1,-2,-3,1,0,-2,1,-1,-1,0,-1,-1,-1,-1,-1,0,0
2025-05-28 17:07:29.47,open,0,0,-1,-2,0,1,0,-1,0,-3,0,0,2,-2,-2,-2,-2,-1,-1,0,-1,-1,3,-2,-2,-2,-3,0,0,0,-3,0,-2,-1,0,1,-1,1,0,-1,0,0,-1,1,-1,0,-2,0
2025-05-28 17:07:29.48,open,0,2,3,-1,0,4,0,2,3,-2,0,2,4,-1,-2,0,1,-1,-1,0,-1,3,3,-2,-2,0,0,1,0,-2,-1,0,-1,-1,0,1,-1,0,2,-2,-1,1,0,-1,-1,0,0,1
2025-05-28 17:07:29.50,open,-1,1,4,-1,-1,1,1,-2,2,1,1,0,0,-1,0,-2,0,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-3,-1,0,-1,-1,1,-2,1,0,-1,-1,0,0,0,-1,0,0,0
2025-05-28 17:07:29.51,open,-1,1,0,-4,-1,2,0,1,1,-2,-1,1,3,0,-2,0,1,0,0,1,-2,-1,1,0,0,-1,-3,0,0,0,-1,-2,-4,-1,0,1,-2,1,0,-1,0,-1,0,0,-1,-1,-2,0
2025-05-28 17:07:29.52,open,0,1,2,-4,1,3,0,1,2,0,-1,2,2,-2,-1,-2,-1,0,-1,3,0,1,1,-3,-2,-1,0,1,-1,1,0,-1,1,-1,0,-1,-1,2,1,-1,-1,0,0,0,0,-1,-2,-1
2025-05-28 17:07:29.53,open,3,7,7,0,2,6,1,0,3,-2,1,2,2,-2,-1,-2,0,1,0,3,0,0,0,-2,-1,0,-1,2,0,0,-1,0,-1,-1,-1,0,-1,2,0,-1,-1,0,0,-1,-1,0,0,-2
2025-05-28 17:07:29.54,open,-3,-4,0,-4,-1,0,1,1,0,-2,1,2,1,-1,-1,-2,-1,1,-1,2,-1,-1,1,-1,-2,-1,-3,0,1,0,-1,-1,-2,-1,-1,-1,-1,2,1,-2,-1,0,1,0,-1,-1,-1,0
2025-05-28 17:07:29.55,open,-2,-3,-1,-4,0,1,1,-2,2,0,1,1,2,1,-1,-2,0,1,0,3,0,-1,1,0,-2,-1,1,1,2,-2,-1,0,0,-1,-1,0,-1,2,0,-1,-1,0,0,1,-1,0,-2,-2
2025-05-28 17:07:29.56,open,1,3,3,-4,0,4,1,1,1,0,0,1,3,1,0,0,0,1,0,3,-1,1,0,1,-1,-1,-1,0,0,1,-1,-1,0,0,0,-1,-2,0,1,-1,0,0,0,0,0,-1,-2,-2
2025-05-28 17:07:29.58,open,0,4,2,-4,0,4,0,-1,2,0,0,0,2,1,1,-2,1,0,-1,2,-1,-1,1,0,-2,-1,-1,0,-1,0,-1,-2,-1,-1,0,-2,-1,1,0,-2,0,0,0,0,0,1,-1,-1
2025-05-28 17:07:29.59,open,4,4,4,0,2,6,3,-1,0,1,2,2,2,2,2,-2,0,1,0,4,1,1,1,-1,-2,-2,-1,2,2,0,-2,-1,0,0,0,0,-1,3,1,-2,-1,0,1,0,-1,-1,0,-1
2025-05-28 17:07:29.60,open,-5,-1,0,-5,-1,4,1,1,1,-2,1,3,4,0,2,-2,0,0,-1,4,2,2,3,-1,-2,0,0,2,0,-1,-3,-1,0,-1,0,0,-1,2,0,-2,0,0,1,0,0,-1,-2,0
2025-05-28 17:07:29.61,open,-5,-3,-1,-6,0,4,1,0,2,1,0,2,2,2,3,0,1,1,1,4,0,0,1,2,-1,-1,-1,0,-1,0,-1,-1,-3,-1,0,0,-2,1,0,-1,0,0,0,-1,0,0,-1,-1
2025-05-28 17:07:29.62,open,-3,-2,-3,-3,-1,3,1,4,2,0,0,3,3,1,2,0,0,0,-2,3,-1,1,3,1,-2,-1,-1,2,0,-1,-2,0,-2,-2,-1,1,-1,1,0,-1,0,-1,0,0,0,-1,-1,0
