timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-16 16:11:57.51,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-16 16:11:57.52,open,1,-4,4,-4,3,-1,-1,-3,1,0,-3,3,-4,3,0,1,1,-3,1,2,-3,1,3,-4,2,3,-5,4,0,-3,4,-4,3,2,-6,1,4,-4,2,-3,1,2,-3,1,3,-4,0,-1
2025-04-16 16:11:57.53,open,2,-4,5,-4,2,1,-2,-1,-2,4,-3,3,-3,0,2,4,1,-3,1,1,-4,-2,3,-4,3,2,-3,3,0,-2,4,-4,3,2,-6,4,3,-3,2,-3,-2,3,-2,-1,4,-3,-2,0
2025-04-16 16:11:57.54,open,1,-3,4,-5,3,1,-2,0,-2,2,-3,1,-2,0,3,-1,4,-2,-3,4,-2,-2,2,-3,0,3,-4,2,2,-3,4,-2,2,3,-6,2,3,-4,2,-4,-1,3,-2,0,4,-3,0,-1
2025-04-16 16:11:57.56,open,3,-3,3,-5,0,1,-3,-2,-3,2,-3,0,-1,0,4,1,2,-3,-3,4,-3,-2,3,-4,2,2,-5,3,1,-2,4,-4,4,2,-6,2,3,-3,2,-3,-1,3,-2,-1,2,-2,-2,0
2025-04-16 16:11:57.57,open,5,3,3,2,0,3,-1,0,-2,3,-1,0,-1,0,4,2,2,-2,0,2,-3,-2,3,-3,3,3,-4,4,0,-3,5,-3,4,1,-6,3,3,-3,2,-4,1,2,-3,2,3,-3,-3,0
2025-04-16 16:11:57.58,open,3,-3,3,-4,2,1,-2,-1,-3,2,-2,0,-1,0,4,-1,2,-1,-3,1,0,-2,2,-4,1,3,-5,3,1,-2,3,-3,1,3,-6,0,4,-3,-1,-4,-1,3,-1,-1,3,-1,-3,0
2025-04-16 16:11:57.59,open,-1,2,2,0,3,-1,2,-1,1,0,0,1,-3,3,1,1,0,0,0,0,0,1,1,1,0,0,-1,-1,0,1,1,1,0,1,-2,1,1,0,2,0,1,0,-2,2,0,-2,1,1
2025-04-16 16:11:57.60,open,4,-1,4,-4,2,1,-2,-3,-1,2,-4,3,-4,2,1,3,-1,-2,1,-1,-2,1,1,0,2,0,-1,1,-1,1,2,-1,2,2,-6,2,2,-4,2,-3,2,1,-3,2,1,-3,1,-1
2025-04-16 16:11:57.61,open,3,-4,4,-5,0,1,-2,-2,-1,3,-4,3,-3,1,2,2,3,-3,-3,2,-3,-2,3,-4,2,3,-5,2,1,-3,2,-4,2,3,-6,1,3,-5,2,-5,-2,2,-2,-1,2,-3,-3,-1
